task,language,variant,old_score,new_score,delta,run_tag,config,selection,note
MasakhaNER,Tsn,monolingual,0.389,0.771659,0.382659,2026-04-11-r7,llama_ner_tsn,best prompt,final eval artifact
MasakhaNER,Xho,monolingual,0.0,0.719597,0.719597,2026-04-11-r7,llama_ner_xho,best prompt,final eval artifact
MasakhaNER,Zul,monolingual,0.261,0.669513,0.408513,2026-04-11-r7,llama_ner_zul,best prompt,final eval artifact
MasakhaNER,Tsn,multilingual,0.237,0.779247,0.542247,2026-04-11-r7,llama_ner_all,best prompt,final eval artifact
MasakhaNER,Xho,multilingual,0.248,0.692704,0.444704,2026-04-11-r7,llama_ner_all,best prompt,final eval artifact
MasakhaNER,Zul,multilingual,0.226,0.701519,0.475519,2026-04-11-r7,llama_ner_all,best prompt,final eval artifact
MasakhaNER,Tsn,general_instruction,0.123,,,,llama_sa_general_all,,no current eval artifact
MasakhaNER,Xho,general_instruction,0.136,,,,llama_sa_general_all,,no current eval artifact
MasakhaNER,Zul,general_instruction,0.207,,,,llama_sa_general_all,,no current eval artifact
MasakhaPOS,Tsn,monolingual,0.056,0.674419,0.618419,2026-04-03-r2,llama_pos_tsn,best prompt,final eval artifact
MasakhaPOS,Xho,monolingual,0.305,0.425957,0.120957,2026-04-03-r2,llama_pos_xho,best prompt,final eval artifact
MasakhaPOS,Zul,monolingual,0.378,0.808652,0.430652,2026-04-03-r2,llama_pos_zul,best prompt,final eval artifact
MasakhaPOS,Tsn,multilingual,0.005,0.684385,0.679385,2026-04-03-r2,llama_pos_all,best prompt,final eval artifact
MasakhaPOS,Xho,multilingual,0.116,0.517471,0.401471,2026-04-03-r2,llama_pos_all,best prompt,final eval artifact
MasakhaPOS,Zul,multilingual,0.095,0.559068,0.464068,2026-04-03-r2,llama_pos_all,best prompt,final eval artifact
MasakhaPOS,Tsn,general_instruction,0.0,0.0,0.0,sa_general_pos_test,llama_sa_general_all,best prompt,side eval only
MasakhaPOS,Xho,general_instruction,0.0,0.0,0.0,sa_general_pos_test,llama_sa_general_all,best prompt,side eval only
MasakhaPOS,Zul,general_instruction,0.0,0.0,0.0,sa_general_pos_test,llama_sa_general_all,best prompt,side eval only
