source_kind,source_name,source_url,source_tab,family,model_name,run_tag,task,language,variant,setting,score,metric,raw_value,status,date_updated,config,finetune_job_id,eval_job_id,eval_output_dir,summary_path,checkpoint_path,comparisons,notes
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimgsm,Eng,base,0-shot,0.0160,,0-shot: 0.0160,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimgsm,Sot,base,0-shot,0.0160,,0-shot: 0.0160,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimgsm,Xho,base,0-shot,0.0240,,0-shot: 0.0240,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimgsm,Zul,base,0-shot,0.0080,,0-shot: 0.0080,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimmlu,Eng,base,0-shot,0.2497,,0-shot: 0.2497,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimmlu,Sot,base,0-shot,0.2514,,0-shot: 0.2514,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimmlu,Xho,base,0-shot,0.2341,,0-shot: 0.2341,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrimmlu,Zul,base,0-shot,0.2583,,0-shot: 0.2583,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrixnli,Eng,base,0-shot,0.2690,,0-shot: 0.2690,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrixnli,Sot,base,0-shot,0.3178,,0-shot: 0.3178,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrixnli,Xho,base,0-shot,0.3337,,0-shot: 0.3337,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Afrixnli,Zul,base,0-shot,0.3363,,0-shot: 0.3363,baseline_result,,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Belebele,Afr,base,0-shot,0.2678,Acc Norm,0-shot: 0.2678 Acc Norm,baseline_result,25 Sep,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Belebele,Eng,base,0-shot,0.233,Acc Norm,0-shot: 0.233 Acc Norm,baseline_result,25 Sep,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Belebele,Sot,base,0-shot,0.248,Acc Norm,0-shot: 0.248 Acc Norm,baseline_result,25 Sep,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Belebele,Ssw,base,0-shot,0.2711,Acc Norm,0-shot: 0.2711 Acc Norm,baseline_result,25 Sep,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Belebele,Tsn,base,0-shot,0.2867,Acc Norm,0-shot: 0.2867 Acc Norm,baseline_result,25 Sep,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Belebele,Xho,base,0-shot,0.2533,Acc Norm,0-shot: 0.2533 Acc Norm,baseline_result,25 Sep,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Belebele,Zul,base,0-shot,0.2611,Acc Norm,0-shot: 0.2611 Acc Norm,baseline_result,25 Sep,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Eng,base,,,,- 0-shot: 0.0063 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Eng,monolingual,,,,- 0.004 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Eng,multilingual,,,,- 0.016 F1,baseline_note,5 Jan,,,,,,,,
google_sheet,masters_datasets_sheet,https://docs.google.com/spreadsheets/d/1Ph_zVcSuLZy0dUBnDPF4tkLqAfEVCwK9JVybB2_8x6U/edit?usp=sharing,Mamba Results,mamba,mamba,,Injonjo Intent,Sot,base,,,,- 0-shot: 0.0012 F1,baseline_note,5 Jan,,,,,,,,
